"Variation SKU","Variation Label","Variation Record Key","Parent SKU","Parent Name","Linked Sites","Site Brand Mapping","Feed Title","Feed Description","Price Amount","Currency","Feed Price","Availability","Condition","Item Group ID","Color","Texture / Pattern","Material","Length","Width","Height","Depth","Projection","Diameter","Sides","Selected Attributes","Image Link","Product Link","Google Product Category","GTIN","MPN","Identifier Exists","Airtable Import Status","Marketplace Export Status","PIM Issues","Regular Price Original","Tiered Pricing","Stock","Is Active","Published"
"CFWP-MOD006-0002","CFWP-MOD006-0002","CFWP-MOD006-0002","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 6"", 1"", 10' (120"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","180.00","USD","180.00 USD","","new","CFWP-MOD006","","","","10' (120"")","6""","1""","","","","","Width: 6"", Height: 1"", Length: 10' (120"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$180.00","","10","1","0"
"CFWP-MOD006-0003","CFWP-MOD006-0003","CFWP-MOD006-0003","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 6"", 1"", 12' (144"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","217.00","USD","217.00 USD","","new","CFWP-MOD006","","","","12' (144"")","6""","1""","","","","","Width: 6"", Height: 1"", Length: 12' (144"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$217.00","","10","1","0"
"CFWP-MOD006-0004","CFWP-MOD006-0004","CFWP-MOD006-0004","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 6"", 1"", 16' (192"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","288.00","USD","288.00 USD","","new","CFWP-MOD006","","","","16' (192"")","6""","1""","","","","","Width: 6"", Height: 1"", Length: 16' (192"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$288.00","","10","1","0"
"CFWP-MOD006-0005","CFWP-MOD006-0005","CFWP-MOD006-0005","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 8"", 1"", 8' (96"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","193.00","USD","193.00 USD","","new","CFWP-MOD006","","","","8' (96"")","8""","1""","","","","","Width: 8"", Height: 1"", Length: 8' (96"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$193.00","","10","1","0"
"CFWP-MOD006-0006","CFWP-MOD006-0006","CFWP-MOD006-0006","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 8"", 1"", 10' (120"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","240.00","USD","240.00 USD","","new","CFWP-MOD006","","","","10' (120"")","8""","1""","","","","","Width: 8"", Height: 1"", Length: 10' (120"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$240.00","","10","1","0"
"CFWP-MOD006-0007","CFWP-MOD006-0007","CFWP-MOD006-0007","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 8"", 1"", 12' (144"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","288.00","USD","288.00 USD","","new","CFWP-MOD006","","","","12' (144"")","8""","1""","","","","","Width: 8"", Height: 1"", Length: 12' (144"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$288.00","","10","1","0"
"CFWP-MOD006-0008","CFWP-MOD006-0008","CFWP-MOD006-0008","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 8"", 1"", 16' (192"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","384.00","USD","384.00 USD","","new","CFWP-MOD006","","","","16' (192"")","8""","1""","","","","","Width: 8"", Height: 1"", Length: 16' (192"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$384.00","","10","1","0"
"CFWP-MOD006-0009","CFWP-MOD006-0009","CFWP-MOD006-0009","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 10"", 1"", 8' (96"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","240.00","USD","240.00 USD","","new","CFWP-MOD006","","","","8' (96"")","10""","1""","","","","","Width: 10"", Height: 1"", Length: 8' (96"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$240.00","","10","1","0"
"CFWP-MOD006-0010","CFWP-MOD006-0010","CFWP-MOD006-0010","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 10"", 1"", 10' (120"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","300.00","USD","300.00 USD","","new","CFWP-MOD006","","","","10' (120"")","10""","1""","","","","","Width: 10"", Height: 1"", Length: 10' (120"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$300.00","","10","1","0"
"CFWP-MOD006-0011","CFWP-MOD006-0011","CFWP-MOD006-0011","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 10"", 1"", 12' (144"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","360.00","USD","360.00 USD","","new","CFWP-MOD006","","","","12' (144"")","10""","1""","","","","","Width: 10"", Height: 1"", Length: 12' (144"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$360.00","","10","1","0"
"CFWP-MOD006-0012","CFWP-MOD006-0012","CFWP-MOD006-0012","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 10"", 1"", 16' (192"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","480.00","USD","480.00 USD","","new","CFWP-MOD006","","","","16' (192"")","10""","1""","","","","","Width: 10"", Height: 1"", Length: 16' (192"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$480.00","","10","1","0"
"CFWP-MOD006-0013","CFWP-MOD006-0013","CFWP-MOD006-0013","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 12"", 1"", 8' (96"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","288.00","USD","288.00 USD","","new","CFWP-MOD006","","","","8' (96"")","12""","1""","","","","","Width: 12"", Height: 1"", Length: 8' (96"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$288.00","","10","1","0"
"CFWP-MOD006-0014","CFWP-MOD006-0014","CFWP-MOD006-0014","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 12"", 1"", 10' (120"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","360.00","USD","360.00 USD","","new","CFWP-MOD006","","","","10' (120"")","12""","1""","","","","","Width: 12"", Height: 1"", Length: 10' (120"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$360.00","","10","1","0"
"CFWP-MOD006-0015","CFWP-MOD006-0015","CFWP-MOD006-0015","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 12"", 1"", 12' (144"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","432.00","USD","432.00 USD","","new","CFWP-MOD006","","","","12' (144"")","12""","1""","","","","","Width: 12"", Height: 1"", Length: 12' (144"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$432.00","","10","1","0"
"CFWP-MOD006-0016","CFWP-MOD006-0016","CFWP-MOD006-0016","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 12"", 1"", 16' (192"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","575.00","USD","575.00 USD","","new","CFWP-MOD006","","","","16' (192"")","12""","1""","","","","","Width: 12"", Height: 1"", Length: 16' (192"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$575.00","","10","1","0"
"CFWP-MOD006-0017","CFWP-MOD006-0017","CFWP-MOD006-0017","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 16"", 1"", 8' (96"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","384.00","USD","384.00 USD","","new","CFWP-MOD006","","","","8' (96"")","16""","1""","","","","","Width: 16"", Height: 1"", Length: 8' (96"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$384.00","","10","1","0"
"CFWP-MOD006-0018","CFWP-MOD006-0018","CFWP-MOD006-0018","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 16"", 1"", 10' (120"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","480.00","USD","480.00 USD","","new","CFWP-MOD006","","","","10' (120"")","16""","1""","","","","","Width: 16"", Height: 1"", Length: 10' (120"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$480.00","","10","1","0"
"CFWP-MOD006-0019","CFWP-MOD006-0019","CFWP-MOD006-0019","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 16"", 1"", 12' (144"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","575.00","USD","575.00 USD","","new","CFWP-MOD006","","","","12' (144"")","16""","1""","","","","","Width: 16"", Height: 1"", Length: 12' (144"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$575.00","","10","1","0"
"CFWP-MOD006-0020","CFWP-MOD006-0020","CFWP-MOD006-0020","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 16"", 1"", 16' (192"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","767.00","USD","767.00 USD","","new","CFWP-MOD006","","","","16' (192"")","16""","1""","","","","","Width: 16"", Height: 1"", Length: 16' (192"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$767.00","","10","1","0"
"CFWP-MOD006-0021","CFWP-MOD006-0021","CFWP-MOD006-0021","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 20"", 1"", 8' (96"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","480.00","USD","480.00 USD","","new","CFWP-MOD006","","","","8' (96"")","20""","1""","","","","","Width: 20"", Height: 1"", Length: 8' (96"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$480.00","","10","1","0"
"CFWP-MOD006-0022","CFWP-MOD006-0022","CFWP-MOD006-0022","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 20"", 1"", 10' (120"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","599.00","USD","599.00 USD","","new","CFWP-MOD006","","","","10' (120"")","20""","1""","","","","","Width: 20"", Height: 1"", Length: 10' (120"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$599.00","","10","1","0"
"CFWP-MOD006-0023","CFWP-MOD006-0023","CFWP-MOD006-0023","CFWP-MOD006","Ceiling Faux Wood Plank MOD006","decorativearchitecturalproducts.com","{""decorativearchitecturalproducts.com"": ""Decorative Architectural Products""}","Ceiling Faux Wood Plank MOD006 — 20"", 1"", 12' (144"")","Our grainy texture is characterized by distinct and tangible wood fibers, which give the material its unique natural pattern. The grain creates a dynamic contrast within the texture, emphasizing the layered structure of the wood and enhancing its visual depth.","719.00","USD","719.00 USD","","new","CFWP-MOD006","","","","12' (144"")","20""","1""","","","","","Width: 20"", Height: 1"", Length: 12' (144"")","https://v5.airtableusercontent.com/v3/u/57/57/1789048800000/9LpVlnaokpB6ULAxQ9bgOg/IcyMH7d_3IgIGpJxJEnb_G7SpusKtfFWX57AOb13ZBaC96fso8fA2OhQuXz8slbACuxA8eUfI6TdQTvPgEkqkcb7--pOo5SB-rMf2w2kdqnr8q-ccz5mc5iipHQzgDN1cldcl2VAB3h5a9FCwkjQigTJciwX0qy2MX5Cw_2_NvqTIq6atW-_mIMZ3FdXh6kE/ei5AcPJT2pRNJONKNhld5Q18cTGOAm1o1FQ1c2rPnzE","","","","","","READY","BLOCKED","Variation is not published","$719.00","","10","1","0"
